"타임스탬프","연령 및 성별을 선택 해 주세요.","마카롱에 대한 본인의 선호도는?","1. 평소에 마카롱가게에 대한 정보를 어떻게 얻습니까? (복수 선택 가능)","2. 평소 마카롱을 구매하는 방법은? (복수 선택 가능)","3. 마카롱 구매시 불편했던 점은 무엇입니까? (복수 선택 가능)","4. 마카롱 관련 정보 사이트가 필요하다고 생각하십니까?","4-1. 4번에서 필요하다고 답하신 경우, 이유는 무엇입니까?","4-2. 4번에서 필요없다고 답하신 경우,  이유는 무엇입니까?","5. 마카롱 관련 정보 사이트가 생길 시 , 필요하다고 생각하는 서비스는 무엇입니까? (복수 선택 가능)","5-1. 4번의 보기이 외에 바라는 서비스를 작성해주세요. (없으면 'X'기입)","6. 마카롱을 구매하면서 매장에 바라는 점이 있다면 작성해주세요. (없으면 X 기입)","* 평소 좋아하는 맛의 마카롱은? (복수선택 가능)","* 평소 구매하는 마카롱의 개당 가격은 얼마입니까?","* 본인 취향의 마카롱은? (복수 선택 가능)","* 마카롱을 얼마나 자주 구매하십니까?","* 한 번 구매할 때,  몇개씩 구매하십니까?","응답해주셔서 감사합니다 ♥♥♥ 기타 하실 말씀이 있으시면 작성해주세요:)"
"2018/10/11 2:04:11 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;길거리에서 우연히 찾음","","가격을 미리 알 수 없음","필요","맛집인지아닌지를 알 수 있어야 편할것같아요","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","바닐라;카라멜 / 크림브륄레;크림치즈","","","주 1회","1~2개",""
"2018/10/11 2:04:37 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","오픈 여부를 알 수 없음;품절 여부를 알 수 없음","필요","맛있는 마카롱의 정보를 알아서 나쁠게 없음",".","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱","","","주 1회","10개 이내",""
"2018/10/11 2:04:38 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","품절 여부를 알 수 없음;예약시 불편함","불필요","","요즘 SNS 잘 되어있어서요","매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라","","","월 1~2회","5개 이내",""
"2018/10/11 2:04:44 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","가격을 미리 알 수 없음","필요","너무 뒤죽박죽이어서 정리된게 필요","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","x","","초콜렛 / 쇼콜라;녹차 ,인절미","","","주 1회","5개 이내",""
"2018/10/11 2:04:46 오전 GMT+9","20대 / 여","","블로그 / 네이버 지도 등;커뮤니티","","품절 여부를 알 수 없음;예약시 불편함","필요","나는 SNS를 안해서 예약이 불편함","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","맛을 가리지 않고 좋아한다.","","","월 1~2회","10개 이내",""
"2018/10/11 2:05:12 오전 GMT+9","20대 / 여","","블로그 / 네이버 지도 등","","오픈 여부를 알 수 없음;품절 여부를 알 수 없음","필요","후기","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","_","","카라멜 / 크림브륄레","","","월 1~2회","5개 이내",""
"2018/10/11 2:05:25 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;지인소개","","종류를 알기 불편","불필요","","현재 sns를 통해 많은 가게들이 홍보 및 정보 게시를 하고 있는데 그것과 차이가 없을 것 같다","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱;오레오 / 뽀또 등 기성 과자가 들어간 마카롱","","","주 1회","10개 이내",""
"2018/10/11 2:05:51 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;블로그 / 네이버 지도 등","","* 불편했던 적이 없다.","불필요","","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱","","","주 1회","10개 이상",""
"2018/10/11 2:06:03 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","가격이 넘 비싸요ㅠㅠㅠ","불필요","","제가̇ⷦⷪ 아는 곳은 다 정보가̇ⷦⷪ 잇어서욘","구매자 리뷰(평가) 서비스","X","","맛을 가리지 않고 좋아한다.","","","월 1~2회","5개 이내",""
"2018/10/11 2:06:18 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","배송 불가, 예약 불가인 경우 불편","불필요","","Sns로도 충분","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","카라멜 / 크림브륄레","","","끌릴 때마다","10개 이상",""
"2018/10/11 2:07:01 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;길거리에서 우연히 찾음","","품절 여부를 알 수 없음","필요"," 그 가게의 주 메뉴가 무엇인지 궁금해요 , 품절 여부 , 남은 수량이 궁금해요 , 보통 거의 다 에스엔에스 게시물로 올라오는데 에스엔에스 하지 않는 사람도 많으니깐요 !","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부","가게에서 제일 핫 한 메뉴 , 주 메뉴","","맛을 가리지 않고 좋아한다.","","","월 1~2회","5개 이내",""
"2018/10/11 2:07:04 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;블로그 / 네이버 지도 등","","가격을 미리 알 수 없음;예약시 불편함","불필요","","","매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","×","","맛을 가리지 않고 좋아한다.;카라멜 / 크림브륄레","","","주 1회","5개 이내",""
"2018/10/11 2:07:11 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","* 불편했던 적이 없다.","필요","미리 알고 가면 좋으니까","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;마카롱 영양 정보 (칼로리 , 원재료 등)","X","","바닐라;크림치즈","","","가끔 먹고싶을때","10개 이상",""
"2018/10/11 2:08:20 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;지인소개;길거리에서 우연히 찾음","","가격을 미리 알 수 없음","불필요","","마카롱말고도 다른디저트가 많기때문에 굳이..? 마카롱말고 디저트 카페 가격 후기 정보사이트는 좋을듯","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","","맛을 가리지 않고 좋아한다.","","","월 1~2회","5개 이내",""
"2018/10/11 2:10:11 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;지인소개","","한정된 가게 정보;가격을 미리 알 수 없음;예약시 불편함;위치가 너무 구석지라 찾아가기 불편ㅜㅜ","필요","정보들을 모아서 한 눈에 볼 수 있게 해준다면 이용시 편리할 것이고 좀 더 많이, 보다 쉽게 구매할 수 있을거 같아서용","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","선입금 기능도 있으면 좋을거 같아요","","바닐라;카라멜 / 크림브륄레;과일, 과일 잼/ 요거트 등이 들어간 마카롱","","","월 1~2회","10개 이상",""
"2018/10/11 2:11:34 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","휴무를 개인사정으로 너무자주함ㅋㅋㅋㅋㅋㅋㅋㅋ","필요","존맛탱인까여","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","x","","초콜렛 / 쇼콜라;크림치즈;녹차","","","주 1회","10개 이내","존맛탱 마카롱 쉬벌 개듛아 "
"2018/10/11 2:11:43 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;지인소개;길거리에서 우연히 찾음","","* 불편했던 적이 없다.","불필요","","인스타그램에서 마카롱창업자들이 충분히 홍보 잘 하고있는것같아서!  마카롱관련사이트는 배송가능한 지점들과 오프라인에서만운영하는지점들을 따로 분류해서 정보들을 올려놓으면 좋을것같음","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","배송가능한지점에 한해서 그사이트에서 바로 주문연결되는기능","","맛을 가리지 않고 좋아한다.;카라멜 / 크림브륄레;과일, 과일 잼/ 요거트 등이 들어간 마카롱;얼그레이","","","10~15일에 1번","10개 이상",""
"2018/10/11 2:12:18 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","","* 불편했던 적이 없다.","필요","맛있는 마카롱 집을 쉽게 찾기 위해","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 만드는 방법;마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","","초콜렛 / 쇼콜라;바닐라;카라멜 / 크림브륄레;크림치즈;녹차","","","끌릴 때 마다","1~2개",""
"2018/10/11 2:14:09 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;지인소개","","가격을 미리 알 수 없음;품절 여부를 알 수 없음","필요","","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라;크림치즈;오레오 / 뽀또 등 기성 과자가 들어간 마카롱","","","끌릴 때 마다","10개 이내",""
"2018/10/11 2:14:11 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;블로그 / 네이버 지도 등","","품절 여부를 알 수 없음","불필요","","딱히.. 가게에 전화해보면 되서..","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 만드는 방법;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","x","","맛을 가리지 않고 좋아한다.","","","끌릴 때 마다","10개 이내",""
"2018/10/11 2:15:07 오전 GMT+9","10대 / 여","","길거리에서 우연히 찾음","","가격을 미리 알 수 없음;오픈 여부를 알 수 없음;품절 여부를 알 수 없음","필요","마카롱을 살때 불편한점이많아서.","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라;과일, 과일 잼/ 요거트 등이 들어간 마카롱;녹차","","","끌릴 때 마다","10개 이내",""
"2018/10/11 2:15:09 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","예약 후 방문","* 불편했던 적이 없다.","필요","간편히 정보를 알아볼수있을것같아서","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라;카라멜 / 크림브륄레;과일, 과일 잼/ 요거트 등이 들어간 마카롱;오레오 / 뽀또 등 기성 과자가 들어간 마카롱","","","끌릴 때 마다","10개 이내",""
"2018/10/11 2:15:22 오전 GMT+9","10대 / 여","","인스타그램 / 페이스북 등 SNS;길거리에서 우연히 찾음","예약하지 않고 방문","판매량이 적어 일찍 판매종료됨 ㅠㅠ","불필요","","개인 가게 SNS 홍보정도만 해도 충분하다고 생각","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판","x","","맛을 가리지 않고 좋아한다.;초콜렛 / 쇼콜라;카라멜 / 크림브륄레;오레오 / 뽀또 등 기성 과자가 들어간 마카롱;인절미 / 흑임자","","","주 1회","10개 이내",""
"2018/10/11 2:15:24 오전 GMT+9","20대 / 여","","블로그 / 네이버 지도 등","예약하지 않고 방문","오픈 여부를 알 수 없음;한정적인 영업 시간","불필요","","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","맛을 가리지 않고 좋아한다.","","","끌릴 때 마다","1~2개",""
"2018/10/11 2:15:24 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;지인소개","예약하지 않고 방문","품절 여부를 알 수 없음","필요","한번에 모아서 보고싶어서 ","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","초콜렛 / 쇼콜라;녹차;인절미 / 흑임자","","","끌릴 때 마다","5개 이내",""
"2018/10/11 2:15:27 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","예약 후 방문","한정된 가게 정보;품절 여부를 알 수 없음","불필요","","인스타그램 정보가 있어서","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 만드는 방법;마카롱 클래스 신청 게시판;매장별 실시간 품절 여부","X","","맛을 가리지 않고 좋아한다.;초콜렛 / 쇼콜라;바닐라;카라멜 / 크림브륄레;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱;오레오 / 뽀또 등 기성 과자가 들어간 마카롱;녹차","","","주 1회","10개 이내",""
"2018/10/11 2:15:34 오전 GMT+9","20대 / 여","","길거리에서 우연히 찾음","예약 후 방문","가격을 미리 알 수 없음;품절 여부를 알 수 없음","불필요","","알아서 잘 찾을 수 있다","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","맛을 가리지 않고 좋아한다.","","","끌릴 때 마다","5개 이내",""
"2018/10/11 2:15:50 오전 GMT+9","10대 / 여","","지인소개","예약하지 않고 방문","가격을 미리 알 수 없음;품절 여부를 알 수 없음","불필요","","너무 광범위 하기 때문","매장별 실시간 품절 여부","X","","초콜렛 / 쇼콜라;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱","","","끌릴 때 마다","10개 이상",""
"2018/10/11 2:15:52 오전 GMT+9","10대 / 여","","인스타그램 / 페이스북 등 SNS","예약하지 않고 방문","* 불편했던 적이 없다.","불필요","","관련 정보 사이트라면 어떤 사이트를 말하는 걸까요..? 홍보를 위한 사이트라면 개인 sns만으로도 이미 활성화 되어있다고 생각하기때문에 굳이 필요하다고 생각하지않습니당 ","가게 정보 (주소, 오픈시간, 라인업,가격 등)","×","","카라멜 / 크림브륄레;크림치즈","","","끌릴 때 마다","5개 이내",""
"2018/10/11 2:16:16 오전 GMT+9","20대 / 여","","블로그 / 네이버 지도 등","예약하지 않고 방문","가격을 미리 알 수 없음;품절 여부를 알 수 없음","필요","","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부","X","","맛을 가리지 않고 좋아한다.","","","끌릴 때 마다","10개 이상",""
"2018/10/11 2:16:23 오전 GMT+9","20대 / 여","","길거리에서 우연히 찾음","예약하지 않고 방문","비싸다,,","불필요","","마카롱만 있는 사이트가 아니라 디저트류 전체에 대한 정보가 있는 사이트가 더 편할것같아요. 그 속에서 검색기능을 통해 마카롱정보를 찾는게 좋을것같네요","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","","맛을 가리지 않고 좋아한다.;카라멜 / 크림브륄레;녹차","","","끌릴 때 마다","1~2개",""
"2018/10/11 2:16:28 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;지인소개","누가줄깨만머금","한정된 가게 정보;품절 여부를 알 수 없음","불필요","","그렇게 많이 찾아올까..?","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","배송여부 원하는 맛 요청","","크림치즈;옥수수콘 들어간거 존맛","","","잘안사..요","1~2개","도토야 좋은하루 보내"
"2018/10/11 2:16:36 오전 GMT+9","30대 / 여","","인스타그램 / 페이스북 등 SNS;블로그 / 네이버 지도 등","예약하지 않고 방문","품절 여부를 알 수 없음","불필요","","자주 먹지않아서 굳이","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","x","","카라멜 / 크림브륄레;녹차;밀크티","","","끌릴 때 마다","5개 이내",""
"2018/10/11 2:17:44 오전 GMT+9","10대 / 여","","인스타그램 / 페이스북 등 SNS;지인소개","예약 후 방문;예약하지 않고 방문","오픈 여부를 알 수 없음;품절 여부를 알 수 없음","불필요","","불편한 점이 있다고 하더라고 업주에 따라 다른 점이며, 마카롱 전용 사이트는 일반인들에게 전해지는 홍보 효과가 인스타그램 같은 일반인들의 유입이 많은 SNS보다 떨어질 것이라고 생각한다 단지 코어들끼리 정보만 공유한다면 오케이 불편해할 사업자들도 존재할 수 있다","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","마카롱 종류에 따른 보관 방법에 관해 설명이 자세하게 나와 있으면 좋겠습니다 :D","","초콜렛 / 쇼콜라;크림치즈;오레오 / 뽀또 등 기성 과자가 들어간 마카롱;인절미 / 흑임자","","","끌릴 때 마다","1~2개","재미있었어용!"
"2018/10/11 2:17:56 오전 GMT+9","20대 / 여","","길거리에서 우연히 찾음","예약하지 않고 방문","가격을 미리 알 수 없음;오픈 여부를 알 수 없음;품절 여부를 알 수 없음","불필요","","정보 부족에서 오는 불확정성이 좋다","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","","맛을 가리지 않고 좋아한다.","","","끌릴 때 마다","5개 이내",""
"2018/10/11 2:24:43 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","예약하지 않고 방문","* 불편했던 적이 없다.","불필요","","인스타나 커뮤 사이트에서 조금만 검색해도 금방 찾을 수 있음.","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부","X","","맛을 가리지 않고 좋아한다.","","","월 1~2회","5개 이내",""
"2018/10/11 2:25:19 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;길거리에서 우연히 찾음","예약하지 않고 방문","가격을 미리 알 수 없음;맛이 일정하지 않고 가게마다 질이 너무 달라서 복불복임","필요","점바이점으로 퀄리티 차이가 너무 나서.. 난 꼬끄가 쫀득한 마카롱이 먹고싶은데 왜 바스라지는 마카롱만 널린건지..후...","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","x","","카라멜 / 크림브륄레;장미, 헤이즐넛, 레드벨벳","","","월 1~2회","10개 이내",""
"2018/10/11 2:26:27 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;길거리에서 우연히 찾음","예약하지 않고 방문","오픈 여부를 알 수 없음;품절 여부를 알 수 없음","필요","매장의 오픈정보나 품절여부 정보가 있으면 찾아보고 헛걸음 하지 않을 수 있기 때문","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 만드는 방법;마카롱 클래스 신청 게시판;마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","x","x","초콜렛 / 쇼콜라;크림치즈;오레오 / 뽀또 등 기성 과자가 들어간 마카롱;인절미 / 흑임자","","","끌릴 때 마다","10개 이내",""
"2018/10/11 2:26:35 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS;지인소개","예약 후 방문;예약하지 않고 방문","한정된 가게 정보;품절 여부를 알 수 없음","불필요","","사이트 유지 비용보다 이득이 덜할 것 같다","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","X","초콜렛 / 쇼콜라;바닐라;카라멜 / 크림브륄레;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱","","","월 1~2회","10개 이내",""
"2018/10/11 2:27:21 오전 GMT+9","20대 / 여","","인스타그램 / 페이스북 등 SNS","예약하지 않고 방문","가격을 미리 알 수 없음;항상 조기매진 ㅠ","불필요","","굳이 필요x 찾는 제품이나 맛에 따라 ㅎ택배 가능한 곳이 많아져서, 물론 있으면 좋을 것 같긴하다","마카롱 만드는 방법;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","수량 많이 ","초콜렛 / 쇼콜라;카라멜 / 크림브륄레;녹차","","꼬끄가 쫀득한 마카롱","주 1회","5개 이내",""
"2018/10/11 2:33:37 오전 GMT+9","20대 / 여","5","인스타그램 / 페이스북 등 SNS;블로그 / 네이버 지도 등","예약 후 방문;예약하지 않고 방문","한정된 가게 정보;가격을 미리 알 수 없음","필요","","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 만드는 방법;마카롱 클래스 신청 게시판;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)"," x","x","맛을 가리지 않고 좋아한다.","2200원~2500원","마카롱이라면 다 좋아함.","끌릴 때 마다","5개 이내",""
"2018/10/11 2:41:36 오전 GMT+9","20대 / 여","5","인스타그램 / 페이스북 등 SNS","예약하지 않고 방문","오픈 여부를 알 수 없음;품절 여부를 알 수 없음","불필요","","굳이 관련 정보 사이트까지 운영할 필요성은 못느낀다.","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","X","맛을 가리지 않고 좋아한다.","2200원~2500원","마카롱이라면 다 좋아함.;필링이 많이 들어간 마카롱 (뚱카롱)","월 1~2회","10개 이내","도토 사랑해💕 최고존엄 마카롱 마카롱 이즈 마이 라이프"
